Name                                                                                                                            Stmts   Miss  Cover
---------------------------------------------------------------------------------------------------------------------------------------------------
manage.py                                                                                                                          12      2    83%
sample_app/__init__.py                                                                                                              0      0   100%
sample_app/migrations/__init__.py                                                                                                   0      0   100%
sample_app/tests.py                                                                                                                 1      0   100%
sample_project/__init__.py                                                                                                          0      0   100%
sample_project/settings.py                                                                                                         18      0   100%
sample_project/urls.py                                                                                                              3      0   100%
/Users/impress.ai/venv/lib/python3.5/distutils/__init__.py                                                                         73     37    49%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/__init__.py                                                              12      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/apps/__init__.py                                                          3      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/apps/config.py                                                           85     24    72%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/apps/registry.py                                                        172     36    79%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/conf/__init__.py                                                        103     36    65%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/conf/global_settings.py                                                 142      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/conf/locale/__init__.py                                                   1      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/__init__.py                                                       0      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/admin/__init__.py                                                10      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/admin/actions.py                                                 30     21    30%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/admin/apps.py                                                    15      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/admin/checks.py                                                 421    224    47%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/admin/decorators.py                                              14      3    79%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/admin/exceptions.py                                               5      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/admin/filters.py                                                207    143    31%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/admin/helpers.py                                                231    172    26%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/admin/migrations/0001_initial.py                                  6      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/admin/migrations/0002_logentry_remove_auto_add.py                 5      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/admin/migrations/0003_logentry_add_action_flag_choices.py         4      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/admin/migrations/__init__.py                                      0      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/admin/models.py                                                  84     46    45%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/admin/options.py                                               1032    786    24%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/admin/sites.py                                                  226    112    50%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/admin/templatetags/__init__.py                                    0      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/admin/templatetags/admin_list.py                                221    182    18%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/admin/templatetags/admin_modify.py                               51     40    22%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/admin/templatetags/admin_static.py                                8      2    75%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/admin/templatetags/admin_urls.py                                 38     28    26%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/admin/templatetags/base.py                                       15     10    33%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/admin/templatetags/log.py                                        29     21    28%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/admin/utils.py                                                  318    262    18%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/admin/views/__init__.py                                           0      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/admin/views/autocomplete.py                                      25     16    36%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/admin/views/main.py                                             273    237    13%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/admin/widgets.py                                                247    163    34%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/auth/__init__.py                                                120     90    25%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/auth/admin.py                                                   101     50    50%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/auth/apps.py                                                     20      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/auth/base_user.py                                                67     33    51%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/auth/checks.py                                                   53     23    57%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/auth/forms.py                                                   199    118    41%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/auth/hashers.py                                                 307    200    35%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/auth/management/__init__.py                                      66     30    55%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/auth/migrations/0001_initial.py                                   7      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/auth/migrations/0002_alter_permission_name_max_length.py          4      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/auth/migrations/0003_alter_user_email_max_length.py               4      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/auth/migrations/0004_alter_user_username_opts.py                  5      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/auth/migrations/0005_alter_user_last_login_null.py                4      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/auth/migrations/0006_require_contenttypes_0002.py                 4      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/auth/migrations/0007_alter_validators_add_error_messages.py       5      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/auth/migrations/0008_alter_user_username_max_length.py            5      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/auth/migrations/0009_alter_user_last_name_max_length.py           4      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/auth/migrations/__init__.py                                       0      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/auth/models.py                                                  193     85    56%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/auth/password_validation.py                                     103     68    34%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/auth/signals.py                                                   4      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/auth/tokens.py                                                   37     23    38%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/auth/validators.py                                               14      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/contenttypes/__init__.py                                          1      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/contenttypes/admin.py                                            50     28    44%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/contenttypes/apps.py                                             14      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/contenttypes/checks.py                                           22      4    82%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/contenttypes/fields.py                                          333    268    20%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/contenttypes/forms.py                                            39     29    26%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/contenttypes/management/__init__.py                              78     37    53%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/contenttypes/migrations/0001_initial.py                           5      0   100%
